sample,site,trap,trap_type,order,count
EMONI-S3,EMONI,3,sticky,diptera,6
EMONI-S4,EMONI,4,sticky,diptera,13
EMONI-S4,EMONI,4,sticky,hemiptera,1
EMONI-S4,EMONI,4,sticky,hymenoptera,1
EMONI-S4,EMONI,4,sticky,orthoptera,1
EMONI-S5,EMONI,5,sticky,diptera,11
EMONI-S5,EMONI,5,sticky,hymenoptera,3
EMONI-S6,EMONI,6,sticky,diptera,10
EMONI-S7,EMONI,7,sticky,coleoptera,1
EMONI-S7,EMONI,7,sticky,diptera,15
EMONI-S8,EMONI,8,sticky,coleoptera,1
EMONI-S8,EMONI,8,sticky,diptera,9
EMONI-S8,EMONI,8,sticky,hemiptera,2
EMONI-S9,EMONI,9,sticky,coleoptera,1
EMONI-S9,EMONI,9,sticky,diptera,22
EMONI-S9,EMONI,9,sticky,hymenoptera,1
EMONI-S10,EMONI,10,sticky,diptera,3
EMONI-S11,EMONI,11,sticky,diptera,11
EMONI-S12,EMONI,12,sticky,diptera,1
EMONI-S12,EMONI,12,sticky,hymenoptera,1
MALYKO-S1,MALYKO,1,sticky,diptera,15
MALYKO-S2,MALYKO,2,sticky,diptera,18
MALYKO-S3,MALYKO,3,sticky,coleoptera,1
MALYKO-S3,MALYKO,3,sticky,diptera,18
MALYKO-S3,MALYKO,3,sticky,hymenoptera,3
MALYKO-S3,MALYKO,3,sticky,psocoptera,2
MALYKO-S4,MALYKO,4,sticky,coleoptera,1
MALYKO-S4,MALYKO,4,sticky,diptera,11
MALYKO-S4,MALYKO,4,sticky,hemiptera,1
MALYKO-S4,MALYKO,4,sticky,araneae,1
MALYKO-S5,MALYKO,5,sticky,coleoptera,2
MALYKO-S5,MALYKO,5,sticky,diptera,84
MALYKO-S5,MALYKO,5,sticky,hemiptera,1
MALYKO-S5,MALYKO,5,sticky,hymenoptera,10
MALYKO-S6,MALYKO,6,sticky,diptera,35
MALYKO-S6,MALYKO,6,sticky,hemiptera,1
MALYKO-S6,MALYKO,6,sticky,psocoptera,1
MALYKO-S7,MALYKO,7,sticky,diptera,18
MALYKO-S7,MALYKO,7,sticky,hemiptera,3
MALYKO-S7,MALYKO,7,sticky,hymenoptera,2
MALYKO-S9,MALYKO,9,sticky,coleoptera,1
MALYKO-S9,MALYKO,9,sticky,diptera,41
MALYKO-S9,MALYKO,9,sticky,hemiptera,4
MALYKO-S9,MALYKO,9,sticky,hymenoptera,12
MALYKO-S9,MALYKO,9,sticky,lepidoptera,1
MALYKO-S10,MALYKO,10,sticky,coleoptera,2
MALYKO-S10,MALYKO,10,sticky,diptera,11
MALYKO-S10,MALYKO,10,sticky,hemiptera,2
MALYKO-S10,MALYKO,10,sticky,hymenoptera,3
MALYKO-S11,MALYKO,11,sticky,coleoptera,1
MALYKO-S11,MALYKO,11,sticky,diptera,27
MALYKO-S11,MALYKO,11,sticky,hemiptera,4
MALYKO-S12,MALYKO,12,sticky,coleoptera,1
MALYKO-S12,MALYKO,12,sticky,diptera,21
MALYKO-S12,MALYKO,12,sticky,hemiptera,8
MALYKO-S12,MALYKO,12,sticky,psocoptera,7
NALYKO-S1,NALYKO,1,sticky,diptera,50
NALYKO-S1,NALYKO,1,sticky,araneae,1
NALYKO-S2,NALYKO,2,sticky,diptera,16
NALYKO-S3,NALYKO,3,sticky,diptera,54
NALYKO-S4,NALYKO,4,sticky,diptera,7
NALYKO-S4,NALYKO,4,sticky,hemiptera,1
NALYKO-S5,NALYKO,5,sticky,diptera,9
NALYKO-S5,NALYKO,5,sticky,hemiptera,1
NALYKO-S5,NALYKO,5,sticky,hymenoptera,1
NALYKO-S6,NALYKO,6,sticky,diptera,6
NALYKO-S7,NALYKO,7,sticky,diptera,24
NALYKO-S7,NALYKO,7,sticky,hemiptera,2
NALYKO-S8,NALYKO,8,sticky,diptera,18
NALYKO-S9,NALYKO,9,sticky,diptera,5
NALYKO-S9,NALYKO,9,sticky,hemiptera,1
NALYKO-S10,NALYKO,10,sticky,coleoptera,1
NALYKO-S10,NALYKO,10,sticky,diptera,12
NALYKO-S10,NALYKO,10,sticky,hemiptera,1
NALYKO-S11,NALYKO,11,sticky,diptera,12
NALYKO-S12,NALYKO,12,sticky,diptera,23
NALYKO-S12,NALYKO,12,sticky,hymenoptera,2
RACHI-S2,RACHI,2,sticky,diptera,3
RACHI-S2,RACHI,2,sticky,hemiptera,2
RACHI-S2,RACHI,2,sticky,orthoptera,1
RACHI-S3,RACHI,3,sticky,diptera,4
RACHI-S3,RACHI,3,sticky,hymenoptera,1
RACHI-S4,RACHI,4,sticky,diptera,2
RACHI-S4,RACHI,4,sticky,hemiptera,1
RACHI-S5,RACHI,5,sticky,diptera,6
RACHI-S5,RACHI,5,sticky,araneae,1
RACHI-S6,RACHI,6,sticky,diptera,4
RACHI-S7,RACHI,7,sticky,diptera,4
RACHI-S8,RACHI,8,sticky,diptera,2
RACHI-S8,RACHI,8,sticky,lepidoptera,1
RACHI-S9,RACHI,9,sticky,diptera,6
RACHI-S9,RACHI,9,sticky,hymenoptera,1
RACHI-S9,RACHI,9,sticky,araneae,1
RACHI-S10,RACHI,10,sticky,coleoptera,2
RACHI-S10,RACHI,10,sticky,diptera,4
RACHI-S10,RACHI,10,sticky,hemiptera,2
RACHI-S11,RACHI,11,sticky,diptera,4
RACHI-S11,RACHI,11,sticky,hymenoptera,3
RACHI-S11,RACHI,11,sticky,orthoptera,1
RACHI-S12,RACHI,12,sticky,hemiptera,1
RACHI-S12,RACHI,12,sticky,hymenoptera,2
RACHI-S12,RACHI,12,sticky,lepidoptera,1
SAGRI-S1,SAGRI,1,sticky,hemiptera,1
SAGRI-S1,SAGRI,1,sticky,hymenoptera,1
SAGRI-S1,SAGRI,1,sticky,orthoptera,1
SAGRI-S2,SAGRI,2,sticky,diptera,3
SAGRI-S3,SAGRI,3,sticky,araneae,1
SAGRI-S4,SAGRI,4,sticky,coleoptera,1
SAGRI-S4,SAGRI,4,sticky,diptera,2
SAGRI-S4,SAGRI,4,sticky,hemiptera,1
SAGRI-S5,SAGRI,5,sticky,diptera,2
SAGRI-S6,SAGRI,6,sticky,coleoptera,1
SAGRI-S6,SAGRI,6,sticky,diptera,15
SAGRI-S7,SAGRI,7,sticky,diptera,5
SAGRI-S7,SAGRI,7,sticky,hemiptera,1
SAGRI-S7,SAGRI,7,sticky,orthoptera,1
SAGRI-S8,SAGRI,8,sticky,coleoptera,1
SAGRI-S8,SAGRI,8,sticky,diptera,6
SAGRI-S8,SAGRI,8,sticky,hemiptera,1
SAGRI-S8,SAGRI,8,sticky,hymenoptera,1
SAGRI-S9,SAGRI,9,sticky,coleoptera,1
SAGRI-S9,SAGRI,9,sticky,diptera,3
SAGRI-S9,SAGRI,9,sticky,hemiptera,1
SAGRI-S9,SAGRI,9,sticky,hymenoptera,3
SAGRI-S10,SAGRI,10,sticky,hymenoptera,1
SAGRI-S11,SAGRI,11,sticky,diptera,5
SAGRI-S11,SAGRI,11,sticky,hymenoptera,2
SAGRI-S12,SAGRI,12,sticky,diptera,4
SMONI-S1,SMONI,1,sticky,diptera,37
SMONI-S1,SMONI,1,sticky,hemiptera,3
SMONI-S2,SMONI,2,sticky,diptera,30
SMONI-S2,SMONI,2,sticky,hymenoptera,1
SMONI-S3,SMONI,3,sticky,coleoptera,4
SMONI-S3,SMONI,3,sticky,diptera,49
SMONI-S3,SMONI,3,sticky,hemiptera,1
SMONI-S4,SMONI,4,sticky,diptera,42
SMONI-S4,SMONI,4,sticky,hymenoptera,1
SMONI-S4,SMONI,4,sticky,raphidioptera,1
SMONI-S5,SMONI,5,sticky,coleoptera,1
SMONI-S5,SMONI,5,sticky,diptera,24
SMONI-S5,SMONI,5,sticky,araneae,1
SMONI-S6,SMONI,6,sticky,diptera,34
SMONI-S6,SMONI,6,sticky,hemiptera,2
SMONI-S6,SMONI,6,sticky,hymenoptera,4
SMONI-S6,SMONI,6,sticky,raphidioptera,1
SMONI-S7,SMONI,7,sticky,coleoptera,1
SMONI-S7,SMONI,7,sticky,diptera,39
SMONI-S7,SMONI,7,sticky,hemiptera,7
SMONI-S7,SMONI,7,sticky,hymenoptera,1
SMONI-S8,SMONI,8,sticky,diptera,14
SMONI-S8,SMONI,8,sticky,hemiptera,3
SMONI-S8,SMONI,8,sticky,hymenoptera,1
SMONI-S8,SMONI,8,sticky,raphidioptera,13
SMONI-S9,SMONI,9,sticky,diptera,33
SMONI-S9,SMONI,9,sticky,hemiptera,10
SMONI-S9,SMONI,9,sticky,hymenoptera,1
SMONI-S9,SMONI,9,sticky,raphidioptera,1
SMONI-S10,SMONI,10,sticky,coleoptera,1
SMONI-S10,SMONI,10,sticky,diptera,70
SMONI-S10,SMONI,10,sticky,hemiptera,6
SMONI-S10,SMONI,10,sticky,hymenoptera,3
SMONI-S11,SMONI,11,sticky,coleoptera,1
SMONI-S11,SMONI,11,sticky,diptera,19
SMONI-S11,SMONI,11,sticky,hemiptera,2
SMONI-S12,SMONI,12,sticky,diptera,25
SMONI-S12,SMONI,12,sticky,hemiptera,4
SMONI-S12,SMONI,12,sticky,raphidioptera,2
VIGLA-S1,VIGLA,1,sticky,diptera,15
VIGLA-S1,VIGLA,1,sticky,hymenoptera,3
VIGLA-S1,VIGLA,1,sticky,embioptera,2
VIGLA-S2,VIGLA,2,sticky,coleoptera,1
VIGLA-S2,VIGLA,2,sticky,diptera,16
VIGLA-S2,VIGLA,2,sticky,hymenoptera,1
VIGLA-S3,VIGLA,3,sticky,coleoptera,2
VIGLA-S3,VIGLA,3,sticky,diptera,22
VIGLA-S3,VIGLA,3,sticky,embioptera,4
VIGLA-S4,VIGLA,4,sticky,diptera,13
VIGLA-S4,VIGLA,4,sticky,hemiptera,1
VIGLA-S4,VIGLA,4,sticky,hymenoptera,1
VIGLA-S4,VIGLA,4,sticky,orthoptera,1
VIGLA-S4,VIGLA,4,sticky,embioptera,6
VIGLA-S5,VIGLA,5,sticky,coleoptera,4
VIGLA-S5,VIGLA,5,sticky,diptera,13
VIGLA-S5,VIGLA,5,sticky,embioptera,2
VIGLA-S6,VIGLA,6,sticky,coleoptera,1
VIGLA-S6,VIGLA,6,sticky,diptera,8
VIGLA-S6,VIGLA,6,sticky,hemiptera,2
VIGLA-S6,VIGLA,6,sticky,hymenoptera,2
VIGLA-S6,VIGLA,6,sticky,embioptera,11
VIGLA-S7,VIGLA,7,sticky,coleoptera,1
VIGLA-S7,VIGLA,7,sticky,diptera,4
VIGLA-S7,VIGLA,7,sticky,embioptera,7
VIGLA-S8,VIGLA,8,sticky,coleoptera,2
VIGLA-S8,VIGLA,8,sticky,diptera,10
VIGLA-S8,VIGLA,8,sticky,embioptera,1
VIGLA-S9,VIGLA,9,sticky,diptera,20
VIGLA-S9,VIGLA,9,sticky,hemiptera,2
VIGLA-S9,VIGLA,9,sticky,hymenoptera,2
VIGLA-S9,VIGLA,9,sticky,embioptera,7
VIGLA-S9,VIGLA,9,sticky,araneae,1
VIGLA-S10,VIGLA,10,sticky,coleoptera,2
VIGLA-S10,VIGLA,10,sticky,diptera,22
VIGLA-S10,VIGLA,10,sticky,hemiptera,2
VIGLA-S10,VIGLA,10,sticky,hymenoptera,2
VIGLA-S10,VIGLA,10,sticky,embioptera,4
VIGLA-S11,VIGLA,11,sticky,diptera,10
VIGLA-S11,VIGLA,11,sticky,hemiptera,2
VIGLA-S11,VIGLA,11,sticky,hymenoptera,2
VIGLA-S11,VIGLA,11,sticky,embioptera,2
VIGLA-S11,VIGLA,11,sticky,araneae,1
VIGLA-S12,VIGLA,12,sticky,diptera,16
VIGLA-S12,VIGLA,12,sticky,embioptera,4
VIGLA-S12,VIGLA,12,sticky,araneae,1
WMONI-S1,WMONI,1,sticky,diptera,12
WMONI-S2,WMONI,2,sticky,coleoptera,2
WMONI-S2,WMONI,2,sticky,diptera,26
WMONI-S2,WMONI,2,sticky,hemiptera,3
WMONI-S2,WMONI,2,sticky,hymenoptera,4
WMONI-S3,WMONI,3,sticky,coleoptera,1
WMONI-S3,WMONI,3,sticky,diptera,33
WMONI-S3,WMONI,3,sticky,hemiptera,1
WMONI-S4,WMONI,4,sticky,coleoptera,3
WMONI-S4,WMONI,4,sticky,diptera,23
WMONI-S4,WMONI,4,sticky,hemiptera,1
WMONI-S4,WMONI,4,sticky,embioptera,2
WMONI-S4,WMONI,4,sticky,raphidioptera,1
WMONI-S5,WMONI,5,sticky,coleoptera,5
WMONI-S5,WMONI,5,sticky,diptera,21
WMONI-S6,WMONI,6,sticky,coleoptera,1
WMONI-S6,WMONI,6,sticky,diptera,11
WMONI-S6,WMONI,6,sticky,hemiptera,2
WMONI-S6,WMONI,6,sticky,embioptera,1
WMONI-S7,WMONI,7,sticky,coleoptera,2
WMONI-S7,WMONI,7,sticky,diptera,18
WMONI-S7,WMONI,7,sticky,hymenoptera,2
WMONI-S7,WMONI,7,sticky,embioptera,1
WMONI-S7,WMONI,7,sticky,acari,1
WMONI-S7,WMONI,7,sticky,araneae,1
WMONI-S8,WMONI,8,sticky,coleoptera,4
WMONI-S8,WMONI,8,sticky,diptera,47
WMONI-S8,WMONI,8,sticky,hymenoptera,2
WMONI-S8,WMONI,8,sticky,acari,1
WMONI-S8,WMONI,8,sticky,araneae,1
WMONI-S9,WMONI,9,sticky,coleoptera,1
WMONI-S9,WMONI,9,sticky,diptera,30
WMONI-S9,WMONI,9,sticky,acari,1
WMONI-S10,WMONI,10,sticky,coleoptera,1
WMONI-S10,WMONI,10,sticky,diptera,34
WMONI-S10,WMONI,10,sticky,hymenoptera,4
WMONI-S10,WMONI,10,sticky,collembola,1
WMONI-S10,WMONI,10,sticky,embioptera,1
WMONI-S10,WMONI,10,sticky,acari,6
WMONI-S10,WMONI,10,sticky,araneae,1
WMONI-S11,WMONI,11,sticky,coleoptera,4
WMONI-S11,WMONI,11,sticky,diptera,26
WMONI-S11,WMONI,11,sticky,hymenoptera,5
WMONI-S11,WMONI,11,sticky,araneae,1
WMONI-S12,WMONI,12,sticky,diptera,28
WMONI-S12,WMONI,12,sticky,hemiptera,7
WMONI-S12,WMONI,12,sticky,hymenoptera,1
